Time,Boss,Event
11/21/2019 10:58,AZUREGOS,KILLED
11/21/2019 15:30,KAZZAK,KILLED
11/24/2019 13:34,KAZZAK,CHECKED
11/24/2019 13:49,KAZZAK,CHECKED
11/24/2019 13:58,KAZZAK,CHECKED
11/24/2019 13:59,AZUREGOS,CHECKED
11/24/2019 15:24,AZUREGOS,CHECKED
11/24/2019 19:30,AZUREGOS,CHECKED
11/24/2019 19:38,KAZZAK,CHECKED
11/24/2019 19:46,AZUREGOS,CHECKED
11/24/2019 20:45,KAZZAK,CHECKED
11/24/2019 21:13,KAZZAK,CHECKED
11/24/2019 21:30,KAZZAK,CHECKED
11/24/2019 21:57,KAZZAK,CHECKED
11/24/2019 22:26,KAZZAK,CHECKED
11/24/2019 23:10,KAZZAK,CHECKED
11/24/2019 23:40,KAZZAK,CHECKED
11/25/2019 0:00,AZUREGOS,CHECKED
11/25/2019 0:53,KAZZAK,CHECKED
11/25/2019 1:17,KAZZAK,CHECKED
11/25/2019 1:27,AZUREGOS,CHECKED
11/25/2019 1:42,KAZZAK,CHECKED
11/25/2019 1:55,AZUREGOS,CHECKED
11/25/2019 2:13,KAZZAK,CHECKED
11/25/2019 2:25,AZUREGOS,CHECKED
11/25/2019 2:47,KAZZAK,CHECKED
11/25/2019 2:57,AZUREGOS,CHECKED
11/25/2019 3:11,KAZZAK,CHECKED
11/25/2019 3:17,AZUREGOS,CHECKED
11/25/2019 3:52,KAZZAK,CHECKED
11/25/2019 3:54,AZUREGOS,CHECKED
11/25/2019 4:28,AZUREGOS,CHECKED
11/25/2019 4:41,KAZZAK,CHECKED
11/25/2019 4:56,KAZZAK,CHECKED
11/25/2019 5:01,AZUREGOS,CHECKED
11/25/2019 5:15,KAZZAK,CHECKED
11/25/2019 5:34,KAZZAK,CHECKED
11/25/2019 5:45,AZUREGOS,CHECKED
11/25/2019 6:00,KAZZAK,CHECKED
11/25/2019 6:07,KAZZAK,CHECKED
11/25/2019 6:18,AZUREGOS,CHECKED
11/25/2019 6:52,AZUREGOS,CHECKED
11/25/2019 7:11,AZUREGOS,CHECKED
11/25/2019 7:24,AZUREGOS,CHECKED
11/25/2019 7:39,AZUREGOS,CHECKED
