Time,Boss,Event,Reporter
2019-11-21 10:58 AM,AZUREGOS,KILLED,Bran
2019-11-21 03:30 PM,KAZZAK,KILLED,Bran
2019-11-24 01:34 PM,KAZZAK,CHECKED,Willboof
2019-11-24 01:49 PM,KAZZAK,CHECKED,Bashna
2019-11-24 01:58 PM,KAZZAK,CHECKED,Willboof
2019-11-24 01:59 PM,AZUREGOS,CHECKED,Willboof
2019-11-24 03:24 PM,AZUREGOS,CHECKED,Willboof
2019-11-24 07:30 PM,AZUREGOS,CHECKED,Willboof
2019-11-24 07:38 PM,KAZZAK,CHECKED,Willboof
2019-11-24 07:46 PM,AZUREGOS,CHECKED,ApachePrime
2019-11-24 08:45 PM,KAZZAK,CHECKED,Derok
2019-11-24 09:13 PM,KAZZAK,CHECKED,Derok
2019-11-24 09:30 PM,KAZZAK,CHECKED,Derok
2019-11-24 09:57 PM,KAZZAK,CHECKED,Derok
2019-11-24 10:26 PM,KAZZAK,CHECKED,Derok
2019-11-24 11:10 PM,KAZZAK,CHECKED,Derok
2019-11-24 11:40 PM,KAZZAK,CHECKED,Worldchat
2019-11-25 12:00 AM,AZUREGOS,CHECKED,Wena
2019-11-25 12:53 AM,KAZZAK,CHECKED,Derok
2019-11-25 01:17 AM,KAZZAK,CHECKED,Derok
2019-11-25 01:27 AM,AZUREGOS,CHECKED,Willboof
2019-11-25 01:42 AM,KAZZAK,CHECKED,Derok
2019-11-25 01:55 AM,AZUREGOS,CHECKED,nextgen
2019-11-25 02:13 AM,KAZZAK,CHECKED,Derok
2019-11-25 02:25 AM,AZUREGOS,CHECKED,Slayerseth
2019-11-25 02:47 AM,KAZZAK,CHECKED,Derok
2019-11-25 02:57 AM,AZUREGOS,CHECKED,Vannis
2019-11-25 03:11 AM,KAZZAK,CHECKED,Derok
2019-11-25 03:17 AM,AZUREGOS,CHECKED,Willboof
2019-11-25 03:52 AM,KAZZAK,CHECKED,Derok
2019-11-25 03:54 AM,AZUREGOS,CHECKED,nextgen
2019-11-25 04:28 AM,AZUREGOS,CHECKED,Durtgrub
2019-11-25 04:41 AM,KAZZAK,CHECKED,Derok
2019-11-25 04:56 AM,KAZZAK,CHECKED,Kainslayer
2019-11-25 05:01 AM,AZUREGOS,CHECKED,nextgen
2019-11-25 05:15 AM,KAZZAK,CHECKED,Worldchat
2019-11-25 05:34 AM,KAZZAK,CHECKED,Kainslayer
2019-11-25 05:45 AM,AZUREGOS,CHECKED,nextgen
2019-11-25 06:00 AM,KAZZAK,CHECKED,Derok
2019-11-25 06:07 AM,KAZZAK,CHECKED,Kainslayer
2019-11-25 06:18 AM,AZUREGOS,CHECKED,Durtgrub
2019-11-25 06:52 AM,AZUREGOS,CHECKED,nextgen
2019-11-25 07:11 AM,AZUREGOS,CHECKED,Spooner
2019-11-25 07:24 AM,AZUREGOS,CHECKED,Drum
2019-11-25 07:39 AM,AZUREGOS,CHECKED,Spooner
2019-11-25 08:00 AM,AZUREGOS,CHECKED,Op
2019-11-25 08:09 AM,KAZZAK,CHECKED,Bashna
2019-11-25 08:23 AM,AZUREGOS,CHECKED,Spooner
